"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de glaces et sorbets (NAF rév. 2, niveau classe, poste 10.52)";"Codes"
"idBank";"010767635";""
"Dernière mise à jour";"04/04/2025 08:45";""
"Période";"";""
"2025-02";"105.57";"A"
"2025-01";"108.68";"A"
"2024-12";"122.85";"A"
"2024-11";"107.97";"A"
"2024-10";"106.18";"A"
"2024-09";"100.47";"A"
"2024-08";"85.7";"A"
"2024-07";"95.57";"A"
"2024-06";"101.11";"A"
"2024-05";"110.06";"A"
"2024-04";"109.74";"A"
"2024-03";"109.52";"A"
"2024-02";"108.63";"A"
"2024-01";"105.07";"A"
"2023-12";"128.32";"A"
"2023-11";"103.4";"A"
"2023-10";"98.11";"A"
"2023-09";"89.76";"A"
"2023-08";"104.79";"A"
"2023-07";"104.02";"A"
"2023-06";"105.04";"A"
"2023-05";"106.86";"A"
"2023-04";"97.44";"A"
"2023-03";"102.94";"A"
"2023-02";"109.69";"A"
"2023-01";"112.91";"A"
"2022-12";"117.27";"A"
"2022-11";"109.61";"A"
"2022-10";"126.28";"A"
"2022-09";"118.33";"A"
"2022-08";"117.28";"A"
"2022-07";"113.02";"A"
"2022-06";"108.05";"A"
"2022-05";"99.66";"A"
"2022-04";"106.45";"A"
"2022-03";"102.97";"A"
"2022-02";"99.79";"A"
"2022-01";"100.91";"A"
"2021-12";"84.09";"A"
"2021-11";"101.19";"A"
"2021-10";"95.83";"A"
"2021-09";"97.52";"A"
"2021-08";"82.46";"A"
"2021-07";"107.34";"A"
"2021-06";"105.74";"A"
"2021-05";"108.34";"A"
"2021-04";"101.71";"A"
"2021-03";"107.04";"A"
"2021-02";"107.04";"A"
"2021-01";"101.71";"A"
"2020-12";"92.43";"A"
"2020-11";"103.01";"A"
"2020-10";"97.91";"A"
"2020-09";"102.58";"A"
"2020-08";"91.39";"A"
"2020-07";"108.56";"A"
"2020-06";"99.93";"A"
"2020-05";"91.89";"A"
"2020-04";"69.05";"A"
"2020-03";"79.05";"A"
"2020-02";"97.83";"A"
"2020-01";"95.11";"A"
"2019-12";"93.37";"A"
"2019-11";"103.98";"A"
"2019-10";"101.59";"A"
"2019-09";"99.12";"A"
"2019-08";"104.57";"A"
"2019-07";"89.94";"A"
"2019-06";"90.75";"A"
"2019-05";"102.09";"A"
"2019-04";"99.63";"A"
"2019-03";"102.06";"A"
"2019-02";"95.99";"A"
"2019-01";"89.66";"A"
"2018-12";"113.28";"A"
"2018-11";"96.88";"A"
"2018-10";"101.49";"A"
"2018-09";"105.31";"A"
"2018-08";"104.79";"A"
"2018-07";"91.18";"A"
"2018-06";"103.03";"A"
"2018-05";"97.06";"A"
"2018-04";"90.9";"A"
"2018-03";"97.6";"A"
"2018-02";"94.32";"A"
"2018-01";"95.76";"A"
"2017-12";"81.11";"A"
"2017-11";"89.35";"A"
"2017-10";"92.92";"A"
"2017-09";"87.23";"A"
"2017-08";"96.75";"A"
"2017-07";"107.57";"A"
"2017-06";"100.76";"A"
"2017-05";"101.45";"A"
"2017-04";"100.12";"A"
"2017-03";"90.6";"A"
"2017-02";"97.66";"A"
"2017-01";"107.52";"A"
"2016-12";"96.76";"A"
"2016-11";"120.11";"A"
"2016-10";"90.08";"A"
"2016-09";"101.04";"A"
"2016-08";"88.6";"A"
"2016-07";"77.04";"A"
"2016-06";"87.13";"A"
"2016-05";"92.07";"A"
"2016-04";"104.6";"A"
"2016-03";"101.62";"A"
"2016-02";"99.21";"A"
"2016-01";"88.08";"A"
"2015-12";"95.84";"A"
"2015-11";"79.97";"A"
"2015-10";"98.05";"A"
"2015-09";"82.66";"A"
"2015-08";"105.31";"A"
"2015-07";"101.22";"A"
"2015-06";"97.25";"A"
"2015-05";"90.76";"A"
"2015-04";"83.15";"A"
"2015-03";"92.69";"A"
"2015-02";"89.32";"A"
"2015-01";"92.61";"A"
"2014-12";"94.61";"A"
"2014-11";"93.17";"A"
"2014-10";"79.92";"A"
"2014-09";"80.56";"A"
"2014-08";"77.86";"A"
"2014-07";"97.69";"A"
"2014-06";"86.7";"A"
"2014-05";"91.92";"A"
"2014-04";"84.14";"A"
"2014-03";"83.3";"A"
"2014-02";"81.38";"A"
"2014-01";"85.33";"A"
"2013-12";"95.32";"A"
"2013-11";"84.88";"A"
"2013-10";"100.12";"A"
"2013-09";"102.06";"A"
"2013-08";"113.98";"A"
"2013-07";"71.76";"A"
"2013-06";"65.42";"A"
"2013-05";"80.45";"A"
"2013-04";"91.94";"A"
"2013-03";"84.44";"A"
"2013-02";"97.26";"A"
"2013-01";"86.59";"A"
"2012-12";"83.4";"A"
"2012-11";"99.69";"A"
"2012-10";"98.63";"A"
"2012-09";"93.54";"A"
"2012-08";"81.72";"A"
"2012-07";"72.78";"A"
"2012-06";"84.39";"A"
"2012-05";"80.27";"A"
"2012-04";"96.21";"A"
"2012-03";"87.88";"A"
"2012-02";"88.61";"A"
"2012-01";"94.45";"A"
"2011-12";"88.78";"A"
"2011-11";"87.94";"A"
"2011-10";"76.27";"A"
"2011-09";"82.4";"A"
"2011-08";"61.14";"A"
"2011-07";"88.13";"A"
"2011-06";"94.26";"A"
"2011-05";"116.6";"A"
"2011-04";"84.34";"A"
"2011-03";"93.87";"A"
"2011-02";"79.62";"A"
"2011-01";"82.97";"A"
"2010-12";"84.75";"A"
"2010-11";"82.22";"A"
"2010-10";"89.06";"A"
"2010-09";"88.44";"A"
"2010-08";"97.76";"A"
"2010-07";"93.84";"A"
"2010-06";"82.49";"A"
"2010-05";"93.78";"A"
"2010-04";"80.72";"A"
"2010-03";"100.53";"A"
"2010-02";"86.49";"A"
"2010-01";"90.59";"A"
"2009-12";"89.43";"A"
"2009-11";"89.78";"A"
"2009-10";"82.11";"A"
"2009-09";"92.61";"A"
"2009-08";"85.21";"A"
"2009-07";"89.06";"A"
"2009-06";"91.5";"A"
"2009-05";"84.8";"A"
"2009-04";"83.41";"A"
"2009-03";"68.14";"A"
"2009-02";"75.63";"A"
"2009-01";"61.7";"A"
"2008-12";"92.75";"A"
"2008-11";"93.33";"A"
"2008-10";"91.33";"A"
"2008-09";"94.71";"A"
"2008-08";"93.49";"A"
"2008-07";"94.32";"A"
"2008-06";"94.72";"A"
"2008-05";"95.11";"A"
"2008-04";"95.17";"A"
"2008-03";"98.46";"A"
"2008-02";"98.34";"A"
"2008-01";"99.77";"A"
"2007-12";"101.31";"A"
"2007-11";"94.75";"A"
"2007-10";"95.35";"A"
"2007-09";"94.66";"A"
"2007-08";"94.92";"A"
"2007-07";"95.27";"A"
"2007-06";"93.65";"A"
"2007-05";"94.48";"A"
"2007-04";"95.03";"A"
"2007-03";"92.81";"A"
"2007-02";"93.67";"A"
"2007-01";"94.5";"A"
"2006-12";"94.53";"A"
"2006-11";"93.17";"A"
"2006-10";"93.88";"A"
"2006-09";"93.64";"A"
"2006-08";"93.74";"A"
"2006-07";"93.32";"A"
"2006-06";"93.38";"A"
"2006-05";"93.19";"A"
"2006-04";"92.04";"A"
"2006-03";"92.99";"A"
"2006-02";"93.12";"A"
"2006-01";"92.24";"A"
"2005-12";"93.06";"A"
"2005-11";"94.24";"A"
"2005-10";"93.61";"A"
"2005-09";"93.0";"A"
"2005-08";"93.58";"A"
"2005-07";"92.51";"A"
"2005-06";"93.1";"A"
