"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Construction (NAF rév. 2, niveau section, poste F)";"Codes"
"idBank";"010768320";""
"Dernière mise à jour";"04/04/2025 08:45";""
"Période";"";""
"2025-02";"93.83";"A"
"2025-01";"92.36";"A"
"2024-12";"95.93";"A"
"2024-11";"94.34";"A"
"2024-10";"91.71";"A"
"2024-09";"93.52";"A"
"2024-08";"94.11";"A"
"2024-07";"93.17";"A"
"2024-06";"95.95";"A"
"2024-05";"94.18";"A"
"2024-04";"95.04";"A"
"2024-03";"96.43";"A"
"2024-02";"95.0";"A"
"2024-01";"99.16";"A"
"2023-12";"97.78";"A"
"2023-11";"96.13";"A"
"2023-10";"97.84";"A"
"2023-09";"98.56";"A"
"2023-08";"97.5";"A"
"2023-07";"98.84";"A"
"2023-06";"97.66";"A"
"2023-05";"99.94";"A"
"2023-04";"99.25";"A"
"2023-03";"98.01";"A"
"2023-02";"99.11";"A"
"2023-01";"98.04";"A"
"2022-12";"96.1";"A"
"2022-11";"97.45";"A"
"2022-10";"96.97";"A"
"2022-09";"96.18";"A"
"2022-08";"97.21";"A"
"2022-07";"94.76";"A"
"2022-06";"95.02";"A"
"2022-05";"96.25";"A"
"2022-04";"96.66";"A"
"2022-03";"97.51";"A"
"2022-02";"98.25";"A"
"2022-01";"99.53";"A"
"2021-12";"95.11";"A"
"2021-11";"98.24";"A"
"2021-10";"99.86";"A"
"2021-09";"98.82";"A"
"2021-08";"98.24";"A"
"2021-07";"98.99";"A"
"2021-06";"99.5";"A"
"2021-05";"100.11";"A"
"2021-04";"101.02";"A"
"2021-03";"101.65";"A"
"2021-02";"101.86";"A"
"2021-01";"106.61";"A"
"2020-12";"101.02";"A"
"2020-11";"101.49";"A"
"2020-10";"101.11";"A"
"2020-09";"101.9";"A"
"2020-08";"107.39";"A"
"2020-07";"102.74";"A"
"2020-06";"98.11";"A"
"2020-05";"84.38";"A"
"2020-04";"40.56";"A"
"2020-03";"69.88";"A"
"2020-02";"111.06";"A"
"2020-01";"111.46";"A"
"2019-12";"110.86";"A"
"2019-11";"111.92";"A"
"2019-10";"111.01";"A"
"2019-09";"112.98";"A"
"2019-08";"110.32";"A"
"2019-07";"111.6";"A"
"2019-06";"112.59";"A"
"2019-05";"112.41";"A"
"2019-04";"112.82";"A"
"2019-03";"114.46";"A"
"2019-02";"113.8";"A"
"2019-01";"109.49";"A"
"2018-12";"115.45";"A"
"2018-11";"112.85";"A"
"2018-10";"112.75";"A"
"2018-09";"113.77";"A"
"2018-08";"113.83";"A"
"2018-07";"114.12";"A"
"2018-06";"112.15";"A"
"2018-05";"106.75";"A"
"2018-04";"115.05";"A"
"2018-03";"108.32";"A"
"2018-02";"111.2";"A"
"2018-01";"111.63";"A"
"2017-12";"118.39";"A"
"2017-11";"116.71";"A"
"2017-10";"117.86";"A"
"2017-09";"113.57";"A"
"2017-08";"116.3";"A"
"2017-07";"114.74";"A"
"2017-06";"114.97";"A"
"2017-05";"117.14";"A"
"2017-04";"115.41";"A"
"2017-03";"115.23";"A"
"2017-02";"114.3";"A"
"2017-01";"111.69";"A"
"2016-12";"111.41";"A"
"2016-11";"112.0";"A"
"2016-10";"110.27";"A"
"2016-09";"109.87";"A"
"2016-08";"112.78";"A"
"2016-07";"106.4";"A"
"2016-06";"106.42";"A"
"2016-05";"107.13";"A"
"2016-04";"104.14";"A"
"2016-03";"103.29";"A"
"2016-02";"102.09";"A"
"2016-01";"110.23";"A"
"2015-12";"108.13";"A"
"2015-11";"109.48";"A"
"2015-10";"107.7";"A"
"2015-09";"109.2";"A"
"2015-08";"107.43";"A"
"2015-07";"107.87";"A"
"2015-06";"110.38";"A"
"2015-05";"107.79";"A"
"2015-04";"109.12";"A"
"2015-03";"111.8";"A"
"2015-02";"107.12";"A"
"2015-01";"109.41";"A"
"2014-12";"109.62";"A"
"2014-11";"105.0";"A"
"2014-10";"109.98";"A"
"2014-09";"109.89";"A"
"2014-08";"110.19";"A"
"2014-07";"111.92";"A"
"2014-06";"111.45";"A"
"2014-05";"108.84";"A"
"2014-04";"113.21";"A"
"2014-03";"112.6";"A"
"2014-02";"113.3";"A"
"2014-01";"115.1";"A"
"2013-12";"116.5";"A"
"2013-11";"112.23";"A"
"2013-10";"116.71";"A"
"2013-09";"115.55";"A"
"2013-08";"114.5";"A"
"2013-07";"117.56";"A"
"2013-06";"114.5";"A"
"2013-05";"115.2";"A"
"2013-04";"115.32";"A"
"2013-03";"110.23";"A"
"2013-02";"111.85";"A"
"2013-01";"108.89";"A"
"2012-12";"113.17";"A"
"2012-11";"114.32";"A"
"2012-10";"114.07";"A"
"2012-09";"110.09";"A"
"2012-08";"116.76";"A"
"2012-07";"115.33";"A"
"2012-06";"112.83";"A"
"2012-05";"113.88";"A"
"2012-04";"112.94";"A"
"2012-03";"114.32";"A"
"2012-02";"102.06";"A"
"2012-01";"119.72";"A"
"2011-12";"115.53";"A"
"2011-11";"118.46";"A"
"2011-10";"116.92";"A"
"2011-09";"118.23";"A"
"2011-08";"120.32";"A"
"2011-07";"118.34";"A"
"2011-06";"117.36";"A"
"2011-05";"121.38";"A"
"2011-04";"119.84";"A"
"2011-03";"120.63";"A"
"2011-02";"123.13";"A"
"2011-01";"123.86";"A"
"2010-12";"108.86";"A"
"2010-11";"121.44";"A"
"2010-10";"123.41";"A"
"2010-09";"122.73";"A"
"2010-08";"121.68";"A"
"2010-07";"122.59";"A"
"2010-06";"124.76";"A"
"2010-05";"124.12";"A"
"2010-04";"124.37";"A"
"2010-03";"124.23";"A"
"2010-02";"120.14";"A"
"2010-01";"119.31";"A"
"2009-12";"120.7";"A"
"2009-11";"126.4";"A"
"2009-10";"123.77";"A"
"2009-09";"124.76";"A"
"2009-08";"122.42";"A"
"2009-07";"124.93";"A"
"2009-06";"124.79";"A"
"2009-05";"124.83";"A"
"2009-04";"125.89";"A"
"2009-03";"128.75";"A"
"2009-02";"126.75";"A"
"2009-01";"122.7";"A"
"2008-12";"128.24";"A"
"2008-11";"128.15";"A"
"2008-10";"130.07";"A"
"2008-09";"131.12";"A"
"2008-08";"131.08";"A"
"2008-07";"133.15";"A"
"2008-06";"133.96";"A"
"2008-05";"129.76";"A"
"2008-04";"134.38";"A"
"2008-03";"135.08";"A"
"2008-02";"135.8";"A"
"2008-01";"136.23";"A"
"2007-12";"137.37";"A"
"2007-11";"136.75";"A"
"2007-10";"135.98";"A"
"2007-09";"135.17";"A"
"2007-08";"135.83";"A"
"2007-07";"135.13";"A"
"2007-06";"133.61";"A"
"2007-05";"135.08";"A"
"2007-04";"134.14";"A"
"2007-03";"133.87";"A"
"2007-02";"135.16";"A"
"2007-01";"129.75";"A"
"2006-12";"138.16";"A"
"2006-11";"131.42";"A"
"2006-10";"131.19";"A"
"2006-09";"128.68";"A"
"2006-08";"129.04";"A"
"2006-07";"127.87";"A"
"2006-06";"129.09";"A"
"2006-05";"128.3";"A"
"2006-04";"127.24";"A"
"2006-03";"126.61";"A"
"2006-02";"126.04";"A"
"2006-01";"127.5";"A"
"2005-12";"126.12";"A"
"2005-11";"127.69";"A"
"2005-10";"126.18";"A"
"2005-09";"127.51";"A"
"2005-08";"127.96";"A"
"2005-07";"127.7";"A"
"2005-06";"126.29";"A"
"2005-05";"126.02";"A"
"2005-04";"125.23";"A"
"2005-03";"121.86";"A"
"2005-02";"121.98";"A"
"2005-01";"126.61";"A"
"2004-12";"119.81";"A"
"2004-11";"123.74";"A"
"2004-10";"122.74";"A"
"2004-09";"122.67";"A"
"2004-08";"119.8";"A"
"2004-07";"121.44";"A"
"2004-06";"121.88";"A"
"2004-05";"121.73";"A"
"2004-04";"121.89";"A"
"2004-03";"122.99";"A"
"2004-02";"123.22";"A"
"2004-01";"121.52";"A"
"2003-12";"121.62";"A"
"2003-11";"120.32";"A"
"2003-10";"121.57";"A"
"2003-09";"120.89";"A"
"2003-08";"120.96";"A"
"2003-07";"121.79";"A"
"2003-06";"122.14";"A"
"2003-05";"118.27";"A"
"2003-04";"121.35";"A"
"2003-03";"123.42";"A"
"2003-02";"121.31";"A"
"2003-01";"116.99";"A"
"2002-12";"121.55";"A"
"2002-11";"121.02";"A"
"2002-10";"120.38";"A"
"2002-09";"122.02";"A"
"2002-08";"119.72";"A"
"2002-07";"120.52";"A"
"2002-06";"121.29";"A"
"2002-05";"120.64";"A"
"2002-04";"121.51";"A"
"2002-03";"122.32";"A"
"2002-02";"121.16";"A"
"2002-01";"121.45";"A"
"2001-12";"122.45";"A"
"2001-11";"122.89";"A"
"2001-10";"122.63";"A"
"2001-09";"121.97";"A"
"2001-08";"122.21";"A"
"2001-07";"122.21";"A"
"2001-06";"121.45";"A"
"2001-05";"122.24";"A"
"2001-04";"120.34";"A"
"2001-03";"119.94";"A"
"2001-02";"121.08";"A"
"2001-01";"120.96";"A"
"2000-12";"126.36";"A"
"2000-11";"118.97";"A"
"2000-10";"119.82";"A"
"2000-09";"117.39";"A"
"2000-08";"120.42";"A"
"2000-07";"116.25";"A"
"2000-06";"116.19";"A"
"2000-05";"119.3";"A"
"2000-04";"113.25";"A"
"2000-03";"115.49";"A"
